cyclist_id,full_name,date_of_birth,nation,pcs_weight,pcs_height,pcs_link,cyclist_name_pcs
1,Aad van den Hoek,1951-10-14,Netherlands,77.0,1.86,https://www.procyclingstats.com/rider/aad-van-den-hoek,VAN DEN HOEK Aad
2,Aaron Gate,1990-11-26,New Zealand,71.0,1.8,https://www.procyclingstats.com/rider/aaron-gate,GATE Aaron
3,Aaron Kemps,1983-09-10,Australia,73.0,1.81,https://www.procyclingstats.com/rider/aaron-kemps,KEMPS Aaron
4,Aaron Van Poucke,1998-04-04,Belgium,68.0,1.77,https://www.procyclingstats.com/rider/aaron-van-poucke,VAN POUCKE Aaron
5,Aaron Verwilst,1997-05-02,Belgium,68.0,1.82,https://www.procyclingstats.com/rider/aaron-verwilst,VERWILST Aaron
6,Aart Vierhouten,1970-03-19,Netherlands,71.0,1.81,https://www.procyclingstats.com/rider/aart-vierhouten,VIERHOUTEN Aart
7,Abel Coelho,1952-12-02,Portugal,,,https://www.procyclingstats.com/rider/abel-coelho,COELHO Abel
8,Abelardo Ríos,1952-01-20,Colombia,63.0,1.61,https://www.procyclingstats.com/rider/abelardo-rios,RÍOS Abelardo
9,Abner González,2000-10-09,Puerto Rico,60.0,1.74,https://www.procyclingstats.com/rider/abner-gonzalez-rivera,GONZÁLEZ Abner
10,Abraham Olano,1970-01-22,Spain,64.0,1.78,https://www.procyclingstats.com/rider/abraham-olano-manzano,OLANO Abraham
11,Acácio da Silva,1961-01-02,Portugal,,,https://www.procyclingstats.com/rider/acacio-da-silva,DA SILVA Acácio
12,Ad Oprins,1950-08-25,Netherlands,,,https://www.procyclingstats.com/rider/ad-oprins,OPRINS Ad
13,Ad Polak,1957-06-26,Netherlands,,,https://www.procyclingstats.com/rider/ad-polak,POLAK Ad
14,Ad Prinsen,1954-09-21,Netherlands,,,https://www.procyclingstats.com/rider/ad-prinsen,PRINSEN Ad
15,Ad Tak,1953-06-08,Netherlands,,,https://www.procyclingstats.com/rider/ad-tak,TAK Ad
16,Ad Van Peer,1955-08-31,Netherlands,,,https://www.procyclingstats.com/rider/ad-van-peer,VAN PEER Ad
17,Ad Wijnands,1959-03-10,Netherlands,,,https://www.procyclingstats.com/rider/ad-wijnands,WIJNANDS Ad
18,Adam Blythe,1989-10-01,Great Britain,68.0,1.75,https://www.procyclingstats.com/rider/adam-blythe,BLYTHE Adam
19,Adam de Vos,1993-10-21,Canada,,1.88,https://www.procyclingstats.com/rider/adam-de-vos,DE VOS Adam
20,Adam Gawlik,1980-07-01,Poland,,,https://www.procyclingstats.com/rider/adam-gawlik,GAWLIK Adam
21,Adam Hansen,1981-05-11,Australia,75.0,1.86,https://www.procyclingstats.com/rider/adam-hansen,HANSEN Adam
22,Adam Laurent,1971-07-06,United States,,,https://www.procyclingstats.com/rider/adam-laurent,LAURENT Adam
23,Adam Murchie,1977-09-09,Australia,,,https://www.procyclingstats.com/rider/adam-murchie,MURCHIE Adam
24,Adam Phelan,1991-08-23,Australia,73.0,1.82,https://www.procyclingstats.com/rider/adam-phelan,PHELAN Adam
25,Adam Stachowiak,1989-07-10,Poland,62.0,1.76,https://www.procyclingstats.com/rider/adam-stachowiak,STACHOWIAK Adam
26,Adam Wadecki,1977-12-23,Poland,68.0,1.83,https://www.procyclingstats.com/rider/adam-wadecki,WADECKI Adam
27,Adam Yates,1992-08-07,Great Britain,58.0,1.73,https://www.procyclingstats.com/rider/adam-yates,YATES Adam
28,Addy Engels,1977-06-16,Netherlands,64.0,1.81,https://www.procyclingstats.com/rider/addy-engels,ENGELS Addy
29,Adelino Teixeira,1954-03-21,Portugal,,,https://www.procyclingstats.com/rider/adelino-teixeira,TEIXEIRA Adelino
30,Adi Wibowo,1979-11-15,Indonesia,68.0,1.8,https://www.procyclingstats.com/rider/adi-wibowo,WIBOWO Adi
31,Ådne Holter,2000-07-08,Norway,,,https://www.procyclingstats.com/rider/adne-holter,HOLTER Ådne
32,Adolfo Alperi,1970-09-12,Spain,,,https://www.procyclingstats.com/rider/adolfo-alperi,ALPERI Adolfo
33,Adolfo García Quesada,1979-09-27,Spain,,,https://www.procyclingstats.com/rider/adolfo-garcia-quesada,GARCÍA QUESADA Adolfo
34,Adolfo Marín García,1958-03-27,Spain,,,https://www.procyclingstats.com/rider/adolfo-marin-garcia,MARÍN GARCÍA Adolfo
35,Adri Jos Schipper,1951-06-10,Netherlands,,,https://www.procyclingstats.com/rider/adri-jos-schipper,SCHIPPER Adri Jos
36,Adri van Opdorp,1950-01-19,Netherlands,,,https://www.procyclingstats.com/rider/adri-van,VAN OPDORP Adri
37,Adri van Houwelingen,1953-10-27,Netherlands,,,https://www.procyclingstats.com/rider/adri-van-houwelingen,VAN HOUWELINGEN Adri
38,Adrià Moreno,1991-08-19,Spain,59.0,1.76,https://www.procyclingstats.com/rider/adria-moreno,MORENO Adrià
39,Adrian Banaszek,1993-10-21,Poland,79.0,1.85,https://www.procyclingstats.com/rider/adrian-banaszek,BANASZEK Adrian
40,Adrian Hegyvary,1984-01-05,United States,78.0,1.91,https://www.procyclingstats.com/rider/adrian-hegyvary,HEGYVARY Adrian
41,Adrian Kurek,1988-03-29,Poland,80.0,1.94,https://www.procyclingstats.com/rider/adrian-kurek,KUREK Adrian
42,Adrián Palomares,1976-02-18,Spain,56.0,1.65,https://www.procyclingstats.com/rider/adrian-palomares,PALOMARES Adrián
43,Adrián Sáez,1986-03-17,Spain,70.0,1.84,https://www.procyclingstats.com/rider/adrian-saez-de-arregi,SÁEZ Adrián
44,Adrian Timmis,1964-06-20,Great Britain,,,https://www.procyclingstats.com/rider/adrian-timmis,TIMMIS Adrian
45,Adrian Viquez,1972-11-26,Costa Rica,,,https://www.procyclingstats.com/rider/adrian-viquez,VIQUEZ Adrian
46,Adriano Angeloni,1983-01-31,Italy,,,https://www.procyclingstats.com/rider/adriano-angeloni,ANGELONI Adriano
47,Adriano Baffi,1962-08-07,Italy,70.0,1.76,https://www.procyclingstats.com/rider/adriano-baffi,BAFFI Adriano
48,Adriano Spinozzi,1964-06-05,Italy,,,https://www.procyclingstats.com/rider/adriano-spinozzi,SPINOZZI Adriano
49,Adrie Kools,1964-01-18,Netherlands,,,https://www.procyclingstats.com/rider/adrie-kools,KOOLS Adrie
50,Adrie van der Poel,1959-06-17,Netherlands,70.0,1.81,https://www.procyclingstats.com/rider/adrie-van-der-poel,VAN DER POEL Adrie
51,Adrien Lagrée,1997-04-25,France,66.0,1.76,https://www.procyclingstats.com/rider/adrien-lagree,LAGRÉE Adrien
52,Adrien Petit,1990-09-26,France,80.0,1.88,https://www.procyclingstats.com/rider/adrien-petit,PETIT Adrien
53,Agostino Giramondo,1959-11-04,Australia,,,https://www.procyclingstats.com/rider/agostino-giramondo,GIRAMONDO Agostino
54,Agustin Alonso,1980-01-05,Spain,,,https://www.procyclingstats.com/rider/agustin-alonso,ALONSO Agustin
55,Ahmed Madan,2000-08-25,Bahrein,,,https://www.procyclingstats.com/rider/ahmed-madan,MADAN Ahmed
56,Aidis Kruopis,1986-10-26,Lithuania,80.0,1.84,https://www.procyclingstats.com/rider/aidis-kruopis,KRUOPIS Aidis
57,Aimé De Gendt,1994-06-17,Belgium,75.0,1.82,https://www.procyclingstats.com/rider/aime-de-gendt,DE GENDT Aimé
58,Aisar Gorgos,1972-02-10,Russia,,,https://www.procyclingstats.com/rider/aisar-gorgos,GORGOS Aisar
59,Aitor Galdós,1979-11-08,Spain,63.0,1.72,https://www.procyclingstats.com/rider/aitor-galdos,GALDÓS Aitor
60,Aitor Garmendia,1968-03-03,Spain,68.0,1.75,https://www.procyclingstats.com/rider/aitor-garmendia,GARMENDIA Aitor
61,Aitor González,1975-02-27,Spain,,,https://www.procyclingstats.com/rider/aitor-gonzalez-jimenez,GONZÁLEZ Aitor
62,Aitor Hernández,1982-01-24,Spain,,,https://www.procyclingstats.com/rider/aitor-hernandez-gutierrez,HERNÁNDEZ Aitor
63,Aitor Kintana,1975-07-15,Spain,,,https://www.procyclingstats.com/rider/aitor-kintana,KINTANA Aitor
64,Aitor Osa,1973-09-09,Spain,,,https://www.procyclingstats.com/rider/aitor-osa,OSA Aitor
65,Aitor Pérez,1977-07-24,Spain,70.0,1.83,https://www.procyclingstats.com/rider/aitor-perez-arrieta,PÉREZ Aitor
66,Aitor Silloniz,1977-02-17,Spain,,,https://www.procyclingstats.com/rider/aitor-silloniz,SILLONIZ Aitor
67,Aivaras Baranauskas,1980-04-06,Lithuania,73.0,1.92,https://www.procyclingstats.com/rider/aivaras-baranauskas,BARANAUSKAS Aivaras
68,Aketza Peña,1981-03-04,Spain,,,https://www.procyclingstats.com/rider/aketza-pena,PEÑA Aketza
69,Akinori Kobayashi,1973-06-11,Japan,,,https://www.procyclingstats.com/rider/akinori-kobayashi,KOBAYASHI Akinori
70,Akira Asada,1967-11-28,Japan,,,https://www.procyclingstats.com/rider/akira-asada,ASADA Akira
71,Alain Bizet,1954-09-03,France,,,https://www.procyclingstats.com/rider/alain-bizet,BIZET Alain
72,Alain Dallenbach,1956-04-07,Switzerland,,,https://www.procyclingstats.com/rider/alain-dallenbach,DALLENBACH Alain
73,Alain De Carvalho,1953-06-09,France,,,https://www.procyclingstats.com/rider/alain-de-carvalho,DE CARVALHO Alain
74,Alain De Roo,1955-11-27,Belgium,,,https://www.procyclingstats.com/rider/alain-de-roo,DE ROO Alain
75,Alain De Schacht,1966-04-03,Belgium,,,https://www.procyclingstats.com/rider/alain-de-schacht,DE SCHACHT Alain
76,Alain de Vuyst,1960-03-14,Belgium,,,https://www.procyclingstats.com/rider/alain-de-vuyst,DE VUYST Alain
77,Alain Desaever,1952-10-03,Belgium,,,https://www.procyclingstats.com/rider/alain-desaever,DESAEVER Alain
78,Alain Dithurbide,1959-01-18,France,,,https://www.procyclingstats.com/rider/alain-dithurbide,DITHURBIDE Alain
79,Alain Laeremans,1963-08-18,Belgium,,,https://www.procyclingstats.com/rider/alain-laeremans,LAEREMANS Alain
80,Alain Meslet,1950-02-08,France,,,https://www.procyclingstats.com/rider/alain-meslet,MESLET Alain
81,Alain Patritti,1953-07-15,France,,,https://www.procyclingstats.com/rider/alain-patritti,PATRITTI Alain
82,Alain Turicchia,1975-09-04,Italy,,,https://www.procyclingstats.com/rider/alain-turicchia,TURICCHIA Alain
83,Alain van Katwijk,1979-02-28,Netherlands,,,https://www.procyclingstats.com/rider/alain-van-katwijk,VAN KATWIJK Alain
84,Alain Vigneron,1954-09-01,France,,,https://www.procyclingstats.com/rider/alain-vigneron,VIGNERON Alain
85,Alain Von Allmen,1961-08-11,Switzerland,60.0,1.72,https://www.procyclingstats.com/rider/alain-von-allmen,VON ALLMEN Alain
86,Alan Banaszek,1997-10-30,Poland,75.0,1.81,https://www.procyclingstats.com/rider/alan-banaszek,BANASZEK Alan
87,Alan Boileau,1999-06-25,France,57.0,1.71,https://www.procyclingstats.com/rider/alan-boileau,BOILEAU Alan
88,Alan Dipple,1956-03-28,Australia,,,https://www.procyclingstats.com/rider/alan-dipple,DIPPLE Alan
89,Alan Gornall,1960-05-07,Great Britain,,,https://www.procyclingstats.com/rider/alan-gornall,GORNALL Alan
90,Alan Jousseaume,1998-08-03,France,,,https://www.procyclingstats.com/rider/alan-jousseaume,JOUSSEAUME Alan
91,Alan Pérez,1982-07-15,Spain,66.0,1.75,https://www.procyclingstats.com/rider/alan-lezaun-perez,PÉREZ Alan
92,Alan Marangoni,1984-07-16,Italy,74.0,1.85,https://www.procyclingstats.com/rider/alan-marangoni,MARANGONI Alan
93,Alan McCormack,1956-08-18,Ireland,57.0,1.62,https://www.procyclingstats.com/rider/alan-mccormack,MCCORMACK Alan
94,Alan Miller,1965-05-03,New Zealand,,,https://www.procyclingstats.com/rider/alan-miller,MILLER Alan
95,Alan Riou,1997-04-02,France,68.0,1.76,https://www.procyclingstats.com/rider/alan-riou,RIOU Alan
96,Alan Van Heerden,1954-12-11,South Africa,69.0,1.8,https://www.procyclingstats.com/rider/alan-van-heerden,VAN HEERDEN Alan
97,Albert Timmer,1985-06-13,Netherlands,77.0,1.86,https://www.procyclingstats.com/rider/albert-timmer,TIMMER Albert
98,Albert Torres,1990-04-26,Spain,70.0,1.8,https://www.procyclingstats.com/rider/albert-torres,TORRES Albert
99,Albert Van Vlierberghe,1942-03-18,Belgium,,,https://www.procyclingstats.com/rider/albert-van-vlierberghe,VAN VLIERBERGHE Albert
100,Albert Zweifel,1949-06-07,Switzerland,,,https://www.procyclingstats.com/rider/albert-zweifel,ZWEIFEL Albert
101,Alberto Amaral,1969-12-11,Portugal,,,https://www.procyclingstats.com/rider/alberto-amaral,AMARAL Alberto
102,Alberto Antonio Silva,1963-11-27,Portugal,,,https://www.procyclingstats.com/rider/alberto-antonio-silva,SILVA Alberto Antonio
103,Alberto Benito,1975-03-03,Spain,,,https://www.procyclingstats.com/rider/alberto-benito,BENITO Alberto
104,Alberto Bettiol,1993-10-29,Italy,69.0,1.8,https://www.procyclingstats.com/rider/alberto-bettiol,BETTIOL Alberto
105,Luis Alberto Camargo,1965-02-03,Colombia,,,https://www.procyclingstats.com/rider/alberto-camargo,CAMARGO Luis Alberto
106,Alberto Cecchin,1989-08-08,Italy,70.0,1.85,https://www.procyclingstats.com/rider/alberto-cecchin,CECCHIN Alberto
107,Alberto Contador,1982-12-06,Spain,61.0,1.76,https://www.procyclingstats.com/rider/alberto-contador,CONTADOR Alberto
108,Alberto Contoli,1987-12-21,Italy,,,https://www.procyclingstats.com/rider/alberto-contoli,CONTOLI Alberto
109,Alberto Curtolo,1984-08-14,Italy,,,https://www.procyclingstats.com/rider/alberto-curtolo,CURTOLO Alberto
110,Alberto Dainese,1998-03-25,Italy,70.0,1.76,https://www.procyclingstats.com/rider/alberto-dainese,DAINESE Alberto
111,Alberto David Fernández,1975-07-31,Spain,,,https://www.procyclingstats.com/rider/alberto-david-fernandez,FERNÁNDEZ Alberto David
112,Alberto Di Lorenzo,1982-04-22,Italy,,,https://www.procyclingstats.com/rider/alberto-di-lorenzo,DI LORENZO Alberto
