cyclist_id,team_id,season,cyclist_status,start_date,stop_date
1,1,1983,rider,1983-01-01,1983-12-31
1,3,1982,rider,1982-01-01,1982-12-31
1,5,1981,rider,1981-01-01,1981-12-31
1,5,1980,rider,1980-01-01,1980-12-31
1,7,1979,rider,1979-01-01,1979-12-31
1,7,1978,rider,1978-01-01,1978-12-31
1,11,1977,rider,1977-01-01,1977-12-31
1,11,1976,rider,1976-01-01,1976-12-31
1,11,1975,rider,1975-01-01,1975-12-31
1,11,1974,rider,1974-01-01,1974-12-31
2,12,2022,rider,2022-01-01,2022-12-31
2,14,2021,rider,2021-01-01,2021-12-31
2,14,2020,rider,2020-01-01,2020-12-31
2,18,2019,rider,2019-01-01,2019-12-31
2,20,2018,rider,2018-01-01,2018-12-31
2,20,2017,rider,2017-01-01,2017-12-31
2,22,2016,rider,2016-01-01,2016-12-31
2,25,2015,rider,2015-01-01,2015-12-31
2,25,2014,rider,2014-01-01,2014-12-31
2,25,2013,rider,2013-01-01,2013-12-31
3,32,2012,rider,2012-01-01,2012-12-31
3,35,2011,rider,2011-01-01,2011-12-31
3,36,2010,rider,2010-01-01,2010-12-31
3,40,2009,rider,2009-01-01,2009-12-31
3,59,2008,rider,2008-01-01,2008-12-31
3,59,2007,rider,2007-01-01,2007-12-31
3,59,2006,rider,2006-01-01,2006-12-31
3,63,2005,rider,2005-01-01,2005-12-31
3,88,2004,trainee,2004-09-01,2004-12-31
4,92,2022,rider,2022-01-01,2022-12-31
4,92,2021,rider,2021-01-01,2021-12-31
4,92,2020,rider,2020-01-01,2020-12-31
4,95,2019,rider,2019-01-01,2019-12-31
5,92,2022,rider,2022-01-01,2022-12-31
5,92,2021,rider,2021-01-01,2021-12-31
5,92,2020,rider,2020-01-01,2020-12-31
5,95,2019,rider,2019-01-01,2019-12-31
5,95,2018,rider,2018-01-01,2018-12-31
6,114,2009,rider,2009-01-01,2009-12-31
6,115,2008,rider,2008-01-01,2008-12-31
6,137,2007,rider,2007-01-01,2007-12-31
6,137,2006,rider,2006-01-01,2006-12-31
6,160,2005,rider,2005-01-01,2005-12-31
6,162,2004,rider,2004-01-01,2004-12-31
6,162,2003,rider,2003-01-01,2003-12-31
6,165,2002,rider,2002-01-01,2002-12-31
6,212,2001,rider,2001-01-01,2001-12-31
6,212,2000,rider,2000-01-01,2000-12-31
6,212,1999,rider,1999-01-01,1999-12-31
6,212,1998,rider,1998-01-01,1998-12-31
6,212,1997,rider,1997-01-01,1997-12-31
6,212,1996,rider,1996-01-01,1996-12-31
7,219,1987,rider,1987-01-01,1987-12-31
7,220,1986,rider,1986-01-01,1986-12-31
7,221,1985,rider,1985-01-01,1985-12-31
8,222,1987,rider,1987-01-01,1987-12-31
8,223,1986,rider,1986-01-01,1986-12-31
8,224,1986,rider,1986-01-01,1986-12-31
