team_name,pcs_link
Coupland's Bakeries/Booth's Group Team,https://www.procyclingstats.com/team/couplands-bakeriesbooths-group-team-2022
New Zealand,https://www.procyclingstats.com/team/new-zealand-2022
Oxford Edge Cycling Team,https://www.procyclingstats.com/team/oxford-edge-cycling-team-2022
CNZ Selection Team,https://www.procyclingstats.com/team/cnz-selection-team-2022
Mitre 10 MEGA Masterton,https://www.procyclingstats.com/team/mitre-10-mega-masterton-2022
Fagan Motors Cycling Team,https://www.procyclingstats.com/team/fagan-motors-cycling-team-2022
ITM Cycling,https://www.procyclingstats.com/team/itm-cycling-2022
Trust House Team,https://www.procyclingstats.com/team/trust-house-team-2022
Cabjaks - Castelli,https://www.procyclingstats.com/team/cabjaks-castelli-2022
Base Solutions,https://www.procyclingstats.com/team/base-solutions-2022
Wellington City Council Team,https://www.procyclingstats.com/team/wellington-city-council-team-2022
New Zealand,https://www.procyclingstats.com/team/new-zealand-2021
Coupland's Bakeries/Booth's Group Team,https://www.procyclingstats.com/team/couplands-bakeriesbooths-group-team-2021
Kiwi Velo Team,https://www.procyclingstats.com/team/kiwi-velo-team-2021
Trust House Team,https://www.procyclingstats.com/team/trust-house-team-2021
Cycling New Zealand Team,https://www.procyclingstats.com/team/cycling-new-zealand-team-2021
Fruzio Development Team,https://www.procyclingstats.com/team/fruzio-development-team-2021
Mitre 10 MEGA Masterton,https://www.procyclingstats.com/team/mitre-10-mega-masterton-2021
Next Gen Racing by Resolve Technology,https://www.procyclingstats.com/team/next-gen-racing-by-resolve-technology-2021
Cabjaks - Castelli,https://www.procyclingstats.com/team/cabjaks-castelli-2021
Fagan Motors Cycling Team,https://www.procyclingstats.com/team/fagan-motors-cycling-team-2021
Wellington City Council Team,https://www.procyclingstats.com/team/wellington-city-council-team-2021
Herrera Sport                                     ,https://www.procyclingstats.com/team/herrera-sport-2021
Team Atletico Venezuela,https://www.procyclingstats.com/team/team-atletico-venezuela-2021
Deportivo Tachira ,https://www.procyclingstats.com/team/deportivo-tachira-2021
Osorio Group City Bikes Quit ,https://www.procyclingstats.com/team/osorio-group-city-bikes-quit-2021
Vzla Pais Futuro Fina Arroz ,https://www.procyclingstats.com/team/vzla-pais-futuro-fina-arroz-2021
Venezuela,https://www.procyclingstats.com/team/venezuela-2021
Panama,https://www.procyclingstats.com/team/panama-2021
JS Cycling ,https://www.procyclingstats.com/team/js-cycling-2021
 Tierra Tachirense Org Andino Ofertazo,https://www.procyclingstats.com/team/tierra-tachirense-org-andino-ofertazo-2021
 Team Saavedra ,https://www.procyclingstats.com/team/team-saavedra-2021
Jajó Trujillo Indet,https://www.procyclingstats.com/team/jajo-trujillo-indet-2021
Guerreros Arduvi Betel,https://www.procyclingstats.com/team/guerreros-arduvi-betel-2021
El Andinito Concafe Loteria Tachira,https://www.procyclingstats.com/team/el-andinito-concafe-loteria-tachira-2021
Vit Osorio Gw                                     ,https://www.procyclingstats.com/team/vit-osorio-gw-2021
Team Gestron Evolution Estancia Bolivar,https://www.procyclingstats.com/team/team-gestron-evolution-estancia-bolivar-2021
 Pamplona Osuna Sanki ,https://www.procyclingstats.com/team/pamplona-osuna-sanki-2021
 Agrofan Triple Tachira Seminaca ,https://www.procyclingstats.com/team/agrofan-triple-tachira-seminaca-2021
 Revivir Gob DC Yokosuna Gourmet ,https://www.procyclingstats.com/team/revivir-gob-dc-yokosuna-gourmet-2021
 Ultrabikex Especialized,https://www.procyclingstats.com/team/ultrabikex-especialized-2021
Club Guasa Bike Ecoplas,https://www.procyclingstats.com/team/club-guasa-bike-ecoplas-2021
Green Monkey,https://www.procyclingstats.com/team/green-monkey-2021
Andy Schleck - CP NVST - Immo Losch,https://www.procyclingstats.com/team/andy-schleck-cp-nvst-immo-losch-2021
Spain,https://www.procyclingstats.com/team/spain-2021
Laos,https://www.procyclingstats.com/team/laos-2020
Terengganu Inc. TSG Cycling Team,https://www.procyclingstats.com/team/terengganu-inc.-tsg-cycling-team-2020
Kelantan Cycling Team,https://www.procyclingstats.com/team/kelantan-cycling-team-2020
Cambodia Cycling Academy ,https://www.procyclingstats.com/team/cambodia-cycling-academy-2020
Thailand,https://www.procyclingstats.com/team/thailand-2020
Bikelife Dong Nai,https://www.procyclingstats.com/team/bikelife-dong-nai-2020
Cambodia,https://www.procyclingstats.com/team/cambodia-2020
KGB Jakarta,https://www.procyclingstats.com/team/kgb-jakarta-2020
JDT Cycling Team,https://www.procyclingstats.com/team/jdt-cycling-team-2020
Venezuela Pais Futuro Fina Arroz NR Osorio,https://www.procyclingstats.com/team/venezuela-pais-futuro-fina-arroz-nr-osorio-2020
Triple Tachira Hotel Venecia Feriad,https://www.procyclingstats.com/team/triple-tachira-hotel-venecia-feriad-2020
Deportivo Táchira,https://www.procyclingstats.com/team/deportivo-tachira-2020
NMV Osorio MU Training,https://www.procyclingstats.com/team/nmv-osorio-mu-training-2020
Gobierno de Miranda Trek,https://www.procyclingstats.com/team/gobierno-de-miranda-trek-2020
Fundacion Herrera Team HYF,https://www.procyclingstats.com/team/fundacion-herrera-team-hyf-2020
Lotería del Táchira ,https://www.procyclingstats.com/team/loteria-del-tachira-2020
Moys JHS Grupo Super Ahorro,https://www.procyclingstats.com/team/moys-jhs-grupo-super-ahorro-2020
Fundacion CicloCorso DC,https://www.procyclingstats.com/team/fundacion-ciclocorso-dc-2020
Team Gesprom Colombia,https://www.procyclingstats.com/team/team-gesprom-colombia-2020
G Tachira G Merida Inv Alexander Garcia La Roca,https://www.procyclingstats.com/team/g-tachira-g-merida-inv-alexander-garcia-la-roca-2020
IDERMI Ciclorepuestos Saavedra,https://www.procyclingstats.com/team/idermi-ciclorepuestos-saavedra-2020
JajoMTB Indet Trujillo,https://www.procyclingstats.com/team/jajomtb-indet-trujillo-2020
Liga Bogota Calzado Power Ulloa,https://www.procyclingstats.com/team/liga-bogota-calzado-power-ulloa-2020
Magdalena Colombia,https://www.procyclingstats.com/team/magdalena-colombia-2020
New Zealand,https://www.procyclingstats.com/team/new-zealand-2020
Memil - CCN Pro Cycling,https://www.procyclingstats.com/team/memil-ccn-pro-cycling-2020
Cycle House Racing Team,https://www.procyclingstats.com/team/cycle-house-racing-team-2020
Coupland's Bakeries Team,https://www.procyclingstats.com/team/coupland-s-bakeries-team-2020
Futuro Pro Cycling,https://www.procyclingstats.com/team/futuro-pro-cycling-2020
