result_link,position
https://www.procyclingstats.com/race/santos-women-s-tour/2018/stage-1,16
https://www.procyclingstats.com/race/santos-women-s-tour/2018/stage-1,31
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,2
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,3
https://www.procyclingstats.com/race/nc-namibia-u23-rr/2021,1
https://www.procyclingstats.com/race/nc-namibia-u23-rr/2021,2
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,5
https://www.procyclingstats.com/race/nc-namibia-u23-rr/2021,3
https://www.procyclingstats.com/race/santos-women-s-tour/2018/stage-1,38
https://www.procyclingstats.com/race/nc-namibia-u23-rr/2021,4
https://www.procyclingstats.com/race/nc-namibia-u23-rr/2021,5
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,6
https://www.procyclingstats.com/race/nc-namibia-u23-rr/2021,6
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,7
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,8
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,1
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,10
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,11
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,12
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,13
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,14
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,15
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,16
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,4
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,17
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,6
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,5
https://www.procyclingstats.com/race/nc-australia-we-itt/2022,18
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,7
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,6
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,7
https://www.procyclingstats.com/race/national-championships-australia-wu23---itt-/2022,1
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,8
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,7
https://www.procyclingstats.com/race/national-championships-australia-wu23---itt-/2022,2
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,9
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,8
https://www.procyclingstats.com/race/national-championships-australia-wu23---itt-/2022,3
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,10
https://www.procyclingstats.com/race/national-championships-australia-wu23---itt-/2022,4
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,11
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,12
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,8
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,13
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,9
https://www.procyclingstats.com/race/national-championships-australia-wu23---itt-/2022,7
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,14
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,10
https://www.procyclingstats.com/race/national-championships-australia-wu23---itt-/2022,8
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,15
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,11
https://www.procyclingstats.com/race/national-championships-australia-wu23---itt-/2022,9
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,16
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,12
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,17
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,13
https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,1
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,18
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,14
https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,2
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,19
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,15
https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,3
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,20
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,16
https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,4
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,21
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,17
https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,5
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,22
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,18
https://www.procyclingstats.com/race/national-championships-australia-wu23---road-race/2021,23
https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,6
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,19
https://www.procyclingstats.com/race/nc-australia-mj-itt/2022,7
alia-wu23---road-race/2021,24
https://www.procyclingstats.com/race/australian-open-road-championships-itt/2020,20
https://www.procyclingstats.com/race/tour-of-wellington/2022/stage-1,
https://www.procyclingstats.com/race/tour-of-wellington/2022/stage-1,
