,full_name,cyclist_id,url
0,ABERASTURI Jon,1.0,https://www.strava.com/pros/16275051
1,ABRAHAMSEN Jonas,2.0,https://www.strava.com/athletes/3249116
2,ACKERMANN Pascal,3.0,https://www.strava.com/pros/12274527
3,ADRIÀ Roger,4.0,https://www.strava.com/athletes/6390713
4,AFFINI Edoardo,5.0,https://www.strava.com/pros/37167909
5,AGIRRE Jon,6.0,https://www.strava.com/athletes/13087574
6,ALAPHILIPPE Julian,7.0,https://www.strava.com/athletes/45926891
7,ALBA Juan Diego,8.0,https://www.strava.com/athletes/38162237
8,ALBANESE Vincenzo,9.0,https://www.strava.com/pros/3488983
9,ALEOTTI Giovanni,10.0,https://www.strava.com/athletes/21536765
10,ALLEGAERT Piet,11.0,https://www.strava.com/pros/4111169
11,ALMEIDA João,12.0,https://www.strava.com/athletes/30236489
12,ALONSO Mikel,13.0,https://www.strava.com/athletes/4570840
13,AMADOR Andrey,14.0,https://www.strava.com/athletes/1593769
14,AMEZQUETA Julen,15.0,https://www.strava.com/pros/1790897
15,ANACONA Winner,16.0,https://www.strava.com/pros/12542977
16,ANDERSEN Idar,17.0,https://www.strava.com/athletes/10443289
17,ANDERSON Edward,18.0,https://www.strava.com/athletes/2346552
18,ANIOLKOWSKI Stanislaw,20.0,https://www.strava.com/athletes/27483509
19,APARICIO Mario,21.0,https://www.strava.com/athletes/7985316
20,ARAIZ Sergio,23.0,https://www.strava.com/athletes/3243807
21,ARANBURU Alex,24.0,https://www.strava.com/athletes/7094043
22,ARANBURU Jokin,25.0,https://www.strava.com/athletes/26726869
23,ARASHIRO Yukiya,26.0,https://www.strava.com/athletes/12337203
24,ARCAS Jorge,27.0,https://www.strava.com/pros/2276607
25,ARCHIBALD John,29.0,https://www.strava.com/pros/1058766
26,ARENSMAN Thymen,31.0,https://www.strava.com/athletes/1936233
27,ARMIRAIL Bruno,34.0,https://www.strava.com/pros/2192184
28,ARU Fabio,37.0,https://www.strava.com/pros/28635374
29,ASGREEN Kasper,38.0,https://www.strava.com/pros/36356974
30,AULAR Orluis,39.0,https://www.strava.com/athletes/17546094
31,ÁVILA Edwin,40.0,https://www.strava.com/athletes/6094073
32,AYUSO Juan,41.0,https://www.strava.com/athletes/10780095
33,AZURMENDI Ibai,43.0,https://www.strava.com/athletes/3060100
34,BACKAERT Frederik,44.0,https://www.strava.com/pros/23726463
35,BADILATTI Matteo,45.0,https://www.strava.com/athletes/4419459
36,BAGIOLI Andrea,46.0,https://www.strava.com/athletes/19593505
37,BAGIOLI Nicola,47.0,https://www.strava.com/athletes/2476243
38,BAGÜES Aritz,48.0,https://www.strava.com/pros/1126708
39,BAIS Davide,49.0,https://www.strava.com/athletes/2566327
40,BAIS Mattia,50.0,https://www.strava.com/athletes/2573969
41,BAKELANTS Jan,51.0,https://www.strava.com/pros/3943249
42,BALLARIN Iker,52.0,https://www.strava.com/athletes/12857719
43,BALLERINI Davide,53.0,https://www.strava.com/athletes/1930273
44,BARBIER Rudy,56.0,https://www.strava.com/athletes/7019829
45,BARCELÓ Fernando,57.0,https://www.strava.com/pros/3943346
46,BARDET Romain,58.0,http://www.strava.com/pros/1630132
47,BARGUIL Warren,59.0,https://www.strava.com/pros/722861
48,BARRENETXEA Jon,61.0,https://www.strava.com/pros/3028726
49,BARTA Will,62.0,https://www.strava.com/pros/831403
50,BARTHE Cyril,63.0,https://www.strava.com/pros/12856902
51,BARTOLOZZI Andrea,64.0,https://www.strava.com/athletes/26007448
52,BAŠKA Erik,65.0,https://www.strava.com/athletes/12028347
53,BASSETT Stephen,66.0,https://www.strava.com/pros/622396
54,BASSO Leonardo,67.0,https://www.strava.com/athletes/2959374
55,BATTAGLIN Enrico,68.0,https://www.strava.com/pros/3018523
56,BATTISTELLA Samuele,69.0,https://www.strava.com/athletes/16571022
57,BAUHAUS Phil,71.0,https://www.strava.com/pros/2217800
58,BAYER Tobias,72.0,https://www.strava.com/athletes/8409483
59,BEADLE Hamish,73.0,https://www.strava.com/athletes/2350641
60,BEAR Ido,74.0,https://www.strava.com/athletes/1323314
61,BEHRINGER Oliver,75.0,https://www.strava.com/athletes/1597609
62,BELLETTI Manuel,76.0,https://www.strava.com/pros/2508843
63,BELLICAUD Jeremy,77.0,https://www.strava.com/athletes/7652767
64,BEN MOSHE Yuval,78.0,https://www.strava.com/athletes/3409968
65,BENEDETTI Cesare,79.0,https://www.strava.com/athletes/1326031
66,BENNETT George,81.0,https://www.strava.com/pros/880187
67,BENNETT Sean,83.0,https://www.strava.com/athletes/326585
68,BENOIST Antoine,84.0,https://strava.com/athletes/8216019
69,BENOOT Tiesj,85.0,https://www.strava.com/pros/1128302
70,BEPPU Fumiyuki,86.0,https://www.strava.com/pros/6068080
71,BERHANE Natnael,87.0,https://www.strava.com/athletes/51821945
72,BERNAL Egan,88.0,https://www.strava.com/pros/2119306
73,BERNARD Julien,89.0,https://www.strava.com/pros/1903938
74,BERRADE Urko,90.0,https://www.strava.com/athletes/13308515
75,BERTAZZO Liam,91.0,https://www.strava.com/athletes/26759333
76,BERTHET Clément,92.0,https://www.strava.com/athletes/7186660
77,BETTIOL Alberto,94.0,https://www.strava.com/pros/16874183
78,BEULLENS Cédric,95.0,https://www.strava.com/pros/5250418
79,BEVILACQUA Mattia,96.0,https://www.strava.com/athletes/17891679
80,BEVILACQUA Simone,97.0,https://www.strava.com/athletes/40535852
81,BEWLEY Sam,99.0,https://www.strava.com/athletes/1435325
82,BIDARD François,100.0,https://www.strava.com/pros/2916501
83,BIERMANS Jenthe,101.0,https://www.strava.com/athletes/2305481
84,BISOLTI Alessandro,103.0,https://www.strava.com/athletes/25605566
85,BISSEGGER Stefan,104.0,https://www.strava.com/athletes/4671192
86,BIZKARRA Mikel,105.0,https://www.strava.com/athletes/3673069
87,BJERG Mikkel,106.0,https://www.strava.com/pros/9640608
88,BLIKRA Erlend,107.0,https://www.strava.com/athletes/4013766
89,BOARO Manuele,108.0,https://www.strava.com/athletes/2323390
90,BOEV Igor,111.0,https://www.strava.com/athletes/36495113
91,BOHLI Tom,112.0,https://www.strava.com/athletes/41905231
92,BOILEAU Alan,113.0,https://www.strava.com/athletes/17558246
93,BOIVIN Guillaume,114.0,https://www.strava.com/athletes/616061
94,BOL Cees,115.0,https://www.strava.com/athletes/1331421
95,BOL Jetse,116.0,https://www.strava.com/pros/588876
96,BONIFAZIO Leonardo,117.0,https://www.strava.com/athletes/9722733
97,BONIFAZIO Niccolò,118.0,https://www.strava.com/pros/1554175
98,BONNAMOUR Franck,119.0,https://www.strava.com/pros/4018952
99,BONNET William,120.0,https://www.strava.com/pros/6998219
100,BOOKWALTER Brent,121.0,https://www.strava.com/athletes/26475512
101,BOU Joan,122.0,https://www.strava.com/athletes/11168033
102,BOUCHARD Geoffrey,123.0,https://www.strava.com/pros/104028
103,BOUDAT Thomas,124.0,https://www.strava.com/pros/14201933
104,BOUET Maxime,125.0,https://www.strava.com/pros/7331365
105,BOUHANNI Nacer,126.0,https://www.strava.com/pros/48143759
106,BOUWMAN Koen,127.0,https://www.strava.com/pros/1993533
107,BRAND Sam,129.0,https://www.strava.com/pros/1170160
108,BRÄNDLE Matthias,130.0,https://www.strava.com/pros/266080
109,BRAVO Garikoitz,131.0,https://www.strava.com/athletes/26353981
110,BRITTON Rob,133.0,https://www.strava.com/pros/1084629
111,BROWN Connor,134.0,https://www.strava.com/athletes/20167511
112,BROWN Nathan,135.0,https://www.strava.com/pros/259470
113,BRUNEL Alexys,136.0,https://www.strava.com/athletes/8411551
114,BRUSSENSKIY Gleb,137.0,https://www.strava.com/athletes/28473885
115,BUCHMANN Emanuel,138.0,https://www.strava.com/pros/2685219
116,BUITRAGO Santiago,139.0,https://www.strava.com/athletes/7310716
117,BURGAUDEAU Mathieu,140.0,https://www.strava.com/athletes/12274525
118,BURGHARDT Marcus,141.0,https://www.strava.com/pros/1803986
119,BYSTRØM Sven Erik,143.0,https://www.strava.com/athletes/2542098
120,CABEDO Óscar,144.0,https://www.strava.com/athletes/5762377
121,CABOT Jérémy,145.0,https://www.strava.com/pros/1796710
122,CALLE Juan Fernando,147.0,https://www.strava.com/pros/48935268
123,CALMEJANE Lilian,148.0,https://www.strava.com/pros/1805247
124,CAM Maxime,149.0,https://www.strava.com/athletes/3966534
125,CAMPENAERTS Victor,151.0,https://www.strava.com/pros/620617
126,CANAL Carlos,152.0,https://www.strava.com/pros/10941882
127,CAÑAVERAL Johnatan,153.0,https://www.strava.com/athletes/8367340
128,CANOLA Marco,154.0,https://www.strava.com/athletes/13759019
129,CANTÓN Isaac,155.0,https://www.strava.com/pros/8619413
130,CAPECCHI Eros,156.0,https://strava.com/athletes/7664988
131,CAPIOT Amaury,157.0,https://www.strava.com/pros/2613903
132,CARAPAZ Richard,158.0,https://www.strava.com/athletes/15104335
133,CARBONI Giovanni,159.0,https://www.strava.com/athletes/20511815
134,CARISEY Clément,160.0,https://www.strava.com/athletes/1577875
135,CARPENTER Robin,161.0,https://www.strava.com/pros/188840
136,CARR Simon,162.0,https://www.strava.com/athletes/3611828
137,CARRETERO Héctor,163.0,https://www.strava.com/athletes/5667997
138,CARUSO Damiano,165.0,https://www.strava.com/pros/4084289
139,CARVALHO Andre,166.0,https://www.strava.com/athletes/2973929
140,CASTRILLO Jaime,167.0,https://www.strava.com/pros/3983729
141,CASTRIQUE Jonas,168.0,https://www.strava.com/athletes/2373068
142,CATAFORD Alexander,170.0,https://www.strava.com/athletes/3490359
143,CATTANEO Mattia,172.0,https://www.strava.com/athletes/10887608
144,CAVAGNA Rémi,173.0,https://www.strava.com/pros/2203430
145,CAVENDISH Mark,174.0,https://www.strava.com/athletes/305159
146,CERNÝ Josef,177.0,https://www.strava.com/pros/323461
147,CHAMPION Thomas,178.0,https://www.strava.com/athletes/12607976
