stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain
1,1,Albert Achterhes Profronde van Drenthe,2022-03-13,2022-03-13,One day race,,One day race,1.1,nl,https://www.procyclingstats.com/race/ronde-van-drenthe/2022,https://www.procyclingstats.com/race/ronde-van-drenthe/2022,ME - Men Elite,1.1,162,9,2,"Hills, flat finish",Assen,Hoogeveen,10:30,38.493,198100.0,421.0,,,,,,,,,,,,,,
2,2,Cholet - Pays de la Loire,2022-03-20,2022-03-20,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/cholet-pays-de-loire/2022,https://www.procyclingstats.com/race/cholet-pays-de-loire/2022,ME - Men Elite,1.1,159,41,2,"Hills, flat finish",Cholet,Cholet,12:00,42.576,202000.0,1714.0,,,,,,,,,,,,,,
3,3,Clasica Jaen Paraiso Interior,2022-02-14,2022-02-14,One day race,,One day race,1.1,es,https://www.procyclingstats.com/race/clasica-jaen-paraiso-interior/2022,https://www.procyclingstats.com/race/clasica-jaen-paraiso-interior/2022,ME - Men Elite,1.1,119,180,3,"Hills, uphill finish",Baeza,Ubeda,12:42,38.963,187800.0,3064.0,,,,,,,,,,,,,,
4,4,Classic Grand Besancon Doubs,2022-04-15,2022-04-15,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/classic-grand-besancon-doubs/2022,https://www.procyclingstats.com/race/classic-grand-besancon-doubs/2022,ME - Men Elite,1.1,129,187,3,"Hills, uphill finish",Besancon,Montfaucon,12:15,40.05,177500.0,2786.0,,,,,,,,,,,,,,
5,5,Classic Loire Atlantique,2022-03-19,2022-03-19,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/classic-loire-atlantique/2022,https://www.procyclingstats.com/race/classic-loire-atlantique/2022,ME - Men Elite,1.1,156,83,2,"Hills, flat finish",La Haye-Fouassiere,La Haye-Fouassiere,12:30,42.802,182800.0,2452.0,,,,,,,,,,,,,,
6,6,Grand Prix Cycliste de Marseille La Marseillaise,2022-01-30,2022-01-30,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/gp-d-ouverture/2022,https://www.procyclingstats.com/race/gp-d-ouverture/2022,ME - Men Elite,1.1,63,120,2,"Hills, flat finish",Chateau-Gombert,Marseille,12:30,38.564,174300.0,2921.0,,,,,,,,,,,,,,
7,7,Grote prijs Jean-Pierre Monsere,2022-03-06,2022-03-06,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/grote-prijs-jean-pierre-monsere/2022,https://www.procyclingstats.com/race/grote-prijs-jean-pierre-monsere/2022,ME - Men Elite,1.1,149,1,1,Flat,Hooglede,Roeselare,10:20,42.771,203200.0,650.0,,,,,,,,,,,,,,
8,8,La Roue Tourangelle Centre Val de Loire - Trophee Groupama Paris Val de Loire,2022-03-27,2022-03-27,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/la-roue-tourangelle/2022,https://www.procyclingstats.com/race/la-roue-tourangelle/2022,ME - Men Elite,1.1,141,30,2,"Hills, flat finish",Chateau-Renault,Tours,13:30,43.433,202000.0,1525.0,,,,,,,,,,,,,,
9,9,La Route Adelie de Vitre,2022-04-01,2022-04-01,One day race,,One day race,1.1,fr,https://www.procyclingstats.com/race/route-adelie-de-vitre/2022,https://www.procyclingstats.com/race/route-adelie-de-vitre/2022,ME - Men Elite,1.1,136,68,1,Flat,Vitre,Vitre,12:00,39.76,176700.0,2578.0,,,,,,,,,,,,,,
10,10,Le Samyn,2022-03-01,2022-03-01,One day race,,One day race,1.1,be,https://www.procyclingstats.com/race/gp-samyn/2022,https://www.procyclingstats.com/race/gp-samyn/2022,ME - Men Elite,1.1,71,10,3,"Hills, uphill finish",Quaregnon,Dour,12:25,43.319,209000.0,1541.0,,,,,,,,,,,,,,
