team_id,season,team_gen_id,team_name,team_class,team_oldest_pcs_link,pcs_link,team_pcs_id
1,1983,20014,Beckers Snacks - Bicky Burger,,https://www.procyclingstats.com/team/beckers-snacks-bicky-burger-1983,https://www.procyclingstats.com/team/beckers-snacks-bicky-burger-1983/overview/,
2,1983,28770,TI-Raleigh - Campagnolo,,https://www.procyclingstats.com/team/ti-raleigh-1974,https://www.procyclingstats.com/team/ti-raleigh-campagnolo-1983/overview/,1540.0
3,1982,28770,TI Raleigh - Campagnolo,,https://www.procyclingstats.com/team/ti-raleigh-1974,https://www.procyclingstats.com/team/ti-raleigh-campagnolo-1982/overview/,1540.0
5,1980,28770,TI Raleigh - Creda,,https://www.procyclingstats.com/team/ti-raleigh-1974,https://www.procyclingstats.com/team/ti-raleigh-creda-1980/overview/,1540.0
7,1978,28770,TI - Raleigh,,https://www.procyclingstats.com/team/ti-raleigh-1974,https://www.procyclingstats.com/team/ti-raleigh-mc-gregor-1978/overview/,1540.0
11,1974,28770,TI-Raleigh,,https://www.procyclingstats.com/team/ti-raleigh-1974,https://www.procyclingstats.com/team/ti-raleigh-1974/overview/,1540.0
12,2022,70600,Bolton Equities Black Spoke Pro Cycling,CT,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2020,https://www.procyclingstats.com/team/bolton-equities-black-spoke-pro-cycling-2022/overview/,6723.0
14,2020,70600,Black Spoke Pro Cycling Academy,CT,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2020,https://www.procyclingstats.com/team/black-spoke-pro-cycling-academy-2020/overview/,6723.0
18,2019,45668,EvoPro Racing,CT,https://www.procyclingstats.com/team/evopro-racing-2019,https://www.procyclingstats.com/team/evopro-racing-2019/overview/,5643.0
20,2017,22664,Aqua Blue Sport,PCT,https://www.procyclingstats.com/team/aqua-blue-sport-2017,https://www.procyclingstats.com/team/aqua-blue-sport-2017/overview/,3866.0
22,2016,97348,An Post Chain Reaction,CT,https://www.procyclingstats.com/team/an-post-mdonnelly-2008,https://www.procyclingstats.com/team/an-post-chain-reaction-2016/overview/,1069.0
25,2013,97348,An Post - Chain Reaction,CT,https://www.procyclingstats.com/team/an-post-mdonnelly-2008,https://www.procyclingstats.com/team/an-post-chain-reaction-2013/overview/,1069.0
26,2012,97348,An Post - Sean Kelly,CT,https://www.procyclingstats.com/team/an-post-mdonnelly-2008,https://www.procyclingstats.com/team/an-post-sean-kelly-2012/overview/,1069.0
30,2008,97348,An Post-M.Donnelly-Grant Thornton-Sean Kelly Team,CT,https://www.procyclingstats.com/team/an-post-mdonnelly-2008,https://www.procyclingstats.com/team/an-post-mdonnelly-2008/overview/,1069.0
32,2012,7147,Champion System Pro Cycling Team,PCT,https://www.procyclingstats.com/team/ckt-tmit-champion-system-2010,https://www.procyclingstats.com/team/champion-system-pro-cycling-team-2012/overview/,1134.0
33,2011,7147,Champion System,CT,https://www.procyclingstats.com/team/ckt-tmit-champion-system-2010,https://www.procyclingstats.com/team/champion-system-2011/overview/,1134.0
34,2010,7147,Ckt Tmit - Champion System,CT,https://www.procyclingstats.com/team/ckt-tmit-champion-system-2010,https://www.procyclingstats.com/team/ckt-tmit-champion-system-2010/overview/,1134.0
35,2011,47849,V Australia,CT,https://www.procyclingstats.com/team/fly-v-australia-p-b-slv-2009,https://www.procyclingstats.com/team/v-australia-2011/overview/,
36,2010,47849,Fly V Australia Pro Cycling Team,CT,https://www.procyclingstats.com/team/fly-v-australia-p-b-slv-2009,https://www.procyclingstats.com/team/fly-v-australia-pro-cycling-team-2010/overview/,
