team_gen_id,number of years,avg(cyclists in team),std(cyclists in team),avg(cyclists in strava),std(cyclists in strava),avg(cyclists in team in strava),std(cyclists in team in strava),number of stages,number of races,number of stages per year,number of races per year
54731,13,27.38,1.39,11.77,4.04,43%,0.13,3700,1564,284.62,120.31
71970,13,32,1.35,17.62,8.01,55%,0.25,3243,1356,249.46,104.31
87836,13,22.15,1.72,7.69,3.97,34%,0.16,2268,730,174.46,56.15
97090,12,29.83,1.53,13.33,4.25,44%,0.13,2049,790,170.75,65.83
73390,1,9,,1,,11%,,170,33,170,33
23688,13,28.77,1.59,15.69,4.66,54%,0.15,2079,977,159.92,75.15
63144,13,30.08,1.75,9.15,3.48,30%,0.12,1951,589,150.08,45.31
47659,13,29.69,1.49,12.23,5.53,41%,0.18,1889,761,145.31,58.54
88358,11,28.82,2.82,17.64,4.39,61%,0.13,1520,589,138.18,53.55
49175,10,30.2,2.57,8.1,5.61,28%,0.22,1363,596,136.3,59.6
43723,13,29.23,1.59,14.38,6.68,50%,0.24,1578,693,121.38,53.31
63626,13,23.77,4.71,10,4.38,40%,0.12,1531,662,117.77,50.92
50035,13,30.85,2.03,18.54,4.65,60%,0.15,1528,605,117.54,46.54
97010,3,15.67,0.58,6,2.65,39%,0.17,351,87,117,29
78981,13,29.69,2.06,15.46,5.39,52%,0.16,1362,462,104.77,35.54
39327,4,25.25,2.63,0.5,1,2%,0.04,360,132,90,33
64403,13,28.69,1.18,17.69,3.79,62%,0.14,1150,443,88.46,34.08
96098,13,22.69,1.49,12.08,3.64,54%,0.18,1146,625,88.15,48.08
2829,13,24.54,4.2,10.54,6.73,41%,0.23,1073,566,82.54,43.54
27461,11,22,2.61,8.82,4.67,40%,0.21,839,398,76.27,36.18
83675,8,25.38,7.54,16.62,8.65,61%,0.22,573,220,71.62,27.5
68702,13,12.08,1.19,4.15,2.23,35%,0.2,920,393,70.77,30.23
10488,11,25.36,5.75,11.09,5.26,42%,0.16,749,258,68.09,23.45
78555,1,10,,1,,10%,,68,11,68,11
66560,13,30.31,1.93,13.69,5.42,45%,0.17,882,320,67.85,24.62
14288,13,18.85,2.58,2.85,1.46,15%,0.08,882,320,67.85,24.62
80318,13,27,2.55,10.08,3.23,38%,0.12,863,397,66.38,30.54
22664,2,16,0,6,0,38%,0,128,40,64,20
46859,5,17.4,4.56,4.2,2.59,22%,0.1,309,119,61.8,23.8
83737,13,10.77,1.09,2.31,1.6,21%,0.14,793,351,61,27
3221,4,27,2.71,9,2.58,33%,0.07,242,98,60.5,24.5
42223,13,28.77,2.17,14.23,4.62,49%,0.16,783,290,60.23,22.31
11358,13,23,5.28,12,7.92,48%,0.25,769,374,59.15,28.77
30234,11,28.45,1.37,11.91,3.21,42%,0.11,649,254,59,23.09
74887,13,19.31,2.84,10.46,3.78,55%,0.21,752,300,57.85,23.08
58612,3,21,4.36,2.67,0.58,12%,0.01,172,71,57.33,23.67
69703,13,12.23,1.83,3.69,2.56,33%,0.23,735,334,56.54,25.69
64725,9,18.33,3.5,2.56,2.24,15%,0.14,506,197,56.22,21.89
46713,6,28.5,2.07,13.17,1.72,46%,0.06,329,98,54.83,16.33
3776,3,19.67,3.06,0.33,0.58,1%,0.02,162,81,54,27
3051,3,19.67,0.58,4,2,20%,0.1,162,63,54,21
26001,5,19,1.22,10.6,2.07,56%,0.12,270,146,54,29.2
