ranking_2022,wins_2022,team_oldest_pcs_link
6,12,https://www.procyclingstats.com/team/team-netapp-2010
4,10,https://www.procyclingstats.com/team/bahrain-merida-pro-cycling-team-2017
1,22,https://www.procyclingstats.com/team/lampre-daikin-colnago-1999
20,2,https://www.procyclingstats.com/team/liberty-seguros-wurth-2006
14,6,https://www.procyclingstats.com/team/leopard-trek-2011

9,4,https://www.procyclingstats.com/team/chazal-vanille-et-mure-vetta-1992

3,13,https://www.procyclingstats.com/team/buckler-colnago-decca-1990
17,2,https://www.procyclingstats.com/team/shimano-memory-corp-2005
19,9,https://www.procyclingstats.com/team/orica-greenedge-2012
5,20,https://www.procyclingstats.com/team/quickstep-davitamon-2003


12,3,https://www.procyclingstats.com/team/la-francaise-des-jeux-1997
